host_neighbourhood,neighbourhood_cleansed
Da'an,大安區
East Gate,中正區
Ximen,萬華區
Wenshan,文山區
Songshan,松山區
Zhongzheng,中正區
Neihu,內湖區
Shilin,士林區
Beitou,北投區
Zhongshan,中山區
Datong,大同區
Nangang,南港區
Xinyi,信義區
Wanhua,萬華區
San Lorenzo,
Gongguan,大安區
LB of Croydon,
Mong Kok,
Lower Sukhumvit,
Dazhi,中山區
Muzha,文山區
Bo'ai Special Zone,中正區
Beacon Hill,
Klong Toey,
大平窩,
八煙,
San Gabriel,
Akasaka,
หมู่ 3,
Wan Chai,
社子,士林區
São Conrado,
南港,南港區
Orchard Hills,
20鄰,
Northeast Torrance,
Badouzi,
湯圍,
Bang Na,
Guandu,北投區
Queen Anne,
Central Vancouver,
Opéra - Grands Boulevards,
9號,
4樓,
Fourth Ward,
之1,
Westchester/Playa Del Rey,
Khu Phố 4,
West University,
Higashiyama-ku,
Chek Lap Kok,
Tsim Sha Tsui,
